Name,Developer,Initial release,Latest release,Program­ming language,Cost (US$),License,GUI,TUI or CLI
Version,Date
Komodo Edit,Activestate,2007,12.0.1[18],2020-02-10,"Python, JavaScript, Perl, Tcl, PHP, Ruby",No cost,"MPL, GPL, LGPL",,
Komodo IDE,Activestate,2001,,,"Python, JavaScript, Perl, Tcl, PHP, Ruby",$295,Proprietary,,
KWrite,KDE Project,2000,24.12.1[19],2025-01-09,C++,No cost,LGPL,,
LE,Alexander V. Lukyanov,1997,1.16.8[20],2021-02-05,C++,No cost,GPL-3.0-or-later,,
Leo,Edward K. Ream,1996,6.7.6[21],2023-12-19,Python,No cost,MIT,,
Light Table,Chris Granger,2012,0.8.1[22],2016-01-22,ClojureScript,No cost,MIT,,
mcedit,Miguel de Icaza,1994,4.8.33[23],2025-01-23,"C, Python, PHP, Javascript, Perl, Tcl, Ruby",No cost,GPL-3.0-or-later,,
Metapad,Alexander Davidson,1999,3.6[24][25],2011-05-28,C,No cost,GPL-3.0-or-later,,
mg,Dave Conroy,1986,current[a],2020-07-22,C,No cost,Public domain,,
MinEd,Thomas Wolff,1992,2022.27,2022-12-23,C,No cost,GPL,,
MS-DOS Editor,Microsoft,1991,2.0.026,,,"Bundled with MS-DOS, Microsoft Windows",Proprietary,,
ne,Sebastiano VignaTodd LewisDaniele Filaretti,1993,3.3.4[27],2025-02-06,C,No cost,GPL-3.0-or-later,,
NEdit,Mark Edel,1991,5.7[28],2017-02-08,C,No cost,GPL-2.0-or-later,,
Notepad,Microsoft,1985,11.2302.16.0,,MASM (originally),Bundled with Microsoft Windows,Proprietary,,
Notepad++,Don Ho,2003-11-25,8.8.7[29],2025-10-20,C++,No cost,GPL-3.0-or-later,,
nvi,Keith Bostic,1994,1.81.6[30],2007-11-18,C,No cost,BSD-3-Clause,,
Pico,University of Washington,1992,4.64,,C,No cost,Apache-2.0,,
PolyEdit,PolySoft Solutions,1998,5.4,2010‑04‑07,,$27.95,Shareware,,
PSPad,Jan Fiala,2002,5.5.1[31],2025-02-05,Object Pascal (Delphi),No cost,Proprietary,,
RJ TextEd,Rickard Johansson,2004,15.63[32],2022-09-29,Object Pascal (Delphi),No cost,Proprietary,,
Sam,Rob Pike,1980s (early),stable,,C,No cost,LPL (OSI approved),,
SciTE,Neil Hodgson,1999,5.5.4[33],2024-12-18,C++,$41.99 for macOS. No cost for others,HPND,,
SlickEdit,"SlickEdit, Inc.",1988,28.0.1,2024-01-21,"C, Slick-C",$299,Proprietary,,
Smultron,Peter Borg,2004,12.0.6,2020-01-03,Objective-C,$7.99,Proprietary,,
SubEthaEdit,TheCoding­Monkeys,2003,5.2.4[34],2022-01-08,,No cost,MIT,,
Sublime Text,"Jon Skinner, Sublime HQ",2008,4 (Build 4200)[35],2025-05-21,"C++, Python",$99,Shareware,,
TED Notepad,Juraj Simlovic,2001,6.3.1[36],2021-12-01,C,No cost,Proprietary,,
Textadept,Mitchell,2007,12.9[37],2025-10-01,"C, Lua",No cost,MIT,,
TextEdit,Apple Inc.,2001,1.18,2022-10-24,,No cost (also bundled with macOS),BSD-3-Clause,,
TextMate,MacroMates,2004-10-10,2.0.23[38],2021-10-12,Objective-C++,No cost,GPL-3.0-or-later,,
TextPad,Helios Software Solutions,1992,9.3.0[39],2023-08-01,,$30.00 (£16.50),Shareware,,
TextWrangler,Bare Bones Software,2003,5.5.2,2016-09-20,,No cost,Proprietary,,
The SemWare Editor,Sammy Mitchell,1985-11,4.49[40],2023-01,"C, SAL",No cost,BSD-2-Clause,,
UltraEdit,IDM Computer Solutions,1994,25.0,2018-03-12,C++,$99.95,Proprietary,,
VEDIT,"Ted Green, Greenview Data",1980,6.24.2,2015-01-12,"Assembly, C","$89 standard, $239 Pro64",Proprietary,,
vi,Bill Joy,1976,3.7,,C,No cost,BSD-4-Clause or CDDL,,
Vim,Bram Moolenaar,1991,9.1.1577[41],2025-07-21,"C, Vim script",No cost,Vim,,
Visual Studio Code,Microsoft,2015,1.105.1[42][43],2025-10-15,"JavaScript, TypeScript",No cost,Source code: MIT[44]  Binaries built by Microsoft: Proprietary[45][46],,
XEmacs,Lucid Inc.,1991,21.4.22[47],2009-01-30,"C, Emacs Lisp",No cost,GPL-2.0-or-later,,
XNEdit,Olaf Wintermann,2018,1.5.2,2023-10-05,C,No cost,GPL-2.0-or-later,,
